Category,Title,Description,Icon,Premium Link,Free User Link,Free Gated
IPA Stores,SenIPA,SenIPA is the exclusive freemium IPA library with a wide variety of IPAs.,senipa.png,https://apps.senumy.com/secure/configs/senipa.mobileconfig,/BecomePremiumUser/,Yes
IPA Stores,AppleJr,AppleJr lets you install tweaked apps on iOS 26 18 and 17 without jailbreak or PC—just add the DNS profile and sideload IPAs safely.,applejr.webp,https://apps.senumy.com/applejr/applejr.mobileconfig,https://apps.senumy.com/applejr/applejr.mobileconfig,No
IPA Stores,IPA Installer,Install iOS apps instantly from .ipa or .tipa files with IPA Installer fast simple and reliable for developers and testers.,ipa-installer.png,https://apps.apple.com/us/app/ipa-installer/id6748286191,/BecomePremiumUser/,Yes
IPA Stores,MapleIPAs,The easiest way to sideload MapleIPAs Store applications on iOS iPadOS tvOS and visionOS.,maple-ipa.png,https://apps.senumy.com/mapleIpas/secure/mappleipa.mobileconfig,/BecomePremiumUser/,Yes
IPA Stores,Velixa,The Velixa IPA Library offers an amazing collection of IPA files.,velixa.png,https://apps.senumy.com/secure/configs/velixa.mobileconfig,/BecomePremiumUser/,Yes
IPA Stores,Zignee,Exclusive IPA library with unique files unavailable elsewhere.,zignee.png,https://apps.senumy.com/secure/configs/zignee.mobileconfig,/BecomePremiumUser/,Yes
IPA Stores,JBIPAs Store.,JBIPAs Store: Jailbreak IPA Store for iOS 9 – 17.0 Download and install apps easily.,jbapastore.png,https://apps.senumy.com/secure/configs/jbipa.mobileconfig,/BecomePremiumUser/,Yes
IPA Stores,TikTok++ IPA,TikTok++ IPA – enhanced TikTok experience.,tiktok.png,https://senumy.com/files/IPAs/download/BHTikTok_Plus_v.32.8.0.ipa,https://senumy.com/files/IPAs/download/BHTikTok_Plus_v.32.8.0.ipa,No
Jailbreak Solution,Redensa,iTerminal-based Jailbreak solution for the latest iOS version.,redensa.png,https://redensa.com/app/install/redensa.mobileconfig,/BecomePremiumUser/,Yes
Jailbreak Solution,Palear1n,Palera1n online jailbreak tool for iOS/iPadOS 18+ on iPhones and iPads.,Palera1n.webp,https://palera1n.com/online/source/secureFile/Terminalv2.mobileconfig,/BecomePremiumUser/,Yes
Jailbreak Solution,NekoJb,Neko Online Jailbreak supports iOS 18+ to install Cydia Sileo and Zebra.,NekoJb.png,https://nekojb.com/source/nekojb/secure/nekoJB.mobileconfig,/BecomePremiumUser/,Yes
Jailbreak Solution,Sileem,Sileem is a brand new jailbreak app installer for both iPhones and iPads.,sileemapp.png,https://sileem.com/secure/config/english/premium-sileem.mobileconfig,/BecomePremiumUser/,Yes
Jailbreak Solution,zJailbreak,Third-party app store that lists jailbreaks and third-party iOS apps.,zjailbreak.png,https://install.zjailbreak.store/app/zjailbreak/secure/provh/vhzf.mobileconfig,/BecomePremiumUser/,Yes
Jailbreak Solution,Unc0ver Black,A powerful jailbreak for iOS 18+ making it easy to download Dark Cydia.,Unc0verBlack.png,https://unc0verblack.com/unc0verdark.mobileconfig,/BecomePremiumUser/,Yes
Package Managers,Cydia2,Easily install jailbreak apps tweaks and themes on the latest iOS versions.,cydia2.png,https://appv2.cydia2.com/appv2free/v2fconfiles/cydia2v2free.mobileconfig,/BecomePremiumUser/,Yes
Package Managers,Sileo2,Modern package manager for the latest versions of iOS and iPadOS.,Sileo2.webp,https://app.sileo2.com/secure/sileo2.mobileconfig,/BecomePremiumUser/,Yes
iOS 26 Demo – Try It Early,iOS 26 Demo,Apple renames iOS by year—iOS 26 replaces iOS 19 with a futuristic AI-powered experience.,ios26.png,https://apps.xixtract.com/ios26/secure/ios26.mobileconfig,/BecomePremiumUser/,Yes
Apple's Future AI Apps,Apple GPT,Apple's Next-Gen AI Chatbot.,AppleGPT.PNG,https://tools.leakbreak.com/applegpt/config/applegpt.mobileconfig,/BecomePremiumUser/,Yes
Apple's Future AI Apps,Safari 3DX,Apple's 3D internet browser.,Safari3DX.png,https://leakbreak.com/securesafari/safari3dx.mobileconfig,/BecomePremiumUser/,Yes
Apple's Future AI Apps,Apple AI Search,Next-gen intelligent search engine.,apple-ai-search.png,https://tools.leakbreak.com/search_engine_ai/config/aisearch.mobileconfig,/BecomePremiumUser/,Yes
Game Stores,Emula,Play classic games without worrying about revokes.,emula.png,https://apps.senumy.com/Emula/secure/emula.mobileconfig,/BecomePremiumUser/,Yes
Repo Extractor,Sileem Repo Extractor,A method for extracting repos to install jailbreak apps themes system tweaks and online jailbreaks.,sileem.png,https://app.sileem.com/secure/free/Dark_Shadow.mobileconfig,/BecomePremiumUser/,Yes
Repo Extractor,AltList,A modern AppList app for adding Repo IPA tweaks and ++ apps.,altlist.png,https://apps.senumy.com/secure/configs/altlist.mobileconfig,/BecomePremiumUser/,Yes
TrollStore IPA Stores,Quorix,The ultimate source for TrollStore-based tweaks apps and themes.,quorix.png,https://apps.senumy.com/secure/configs/quorix.mobileconfig,/BecomePremiumUser/,Yes
TrollStore IPA Stores,Nexara,Nexara's library of KFD IPAs offers amazing apps and tweaks.,nexara.png,https://apps.senumy.com/secure/configs/nexara.mobileconfig,/BecomePremiumUser/,Yes
TrollStore IPA Stores,TrollApps,An alternative to TrollStore this subreddit shares non-piracy open-source apps.,trollstore.png,https://files.iextras.org/app/secure/applist/trollapp.mobileconfig,/BecomePremiumUser/,Yes
Third-party app Stores,TutuPro,An old IPA library with a large collection of IPAs still popular today.,tutupro.png,https://apps.senumy.com/secure/configs/tutupro/premium.mobileconfig,/BecomePremiumUser/,Yes
Third-party app Stores,Panda Helper,A top-rated third-party app store and Cydia alternative.,panda_helper.png,https://apps.senumy.com/config-ipa/pandahelper_lite_s.mobileconfig,/BecomePremiumUser/,Yes
Third-party app Stores,iOS Ninja,Download iOS Jailbreak Tweaks and Apps.,iosninja.webp,https://apps.senumy.com/secure/configs/iosninja.mobileconfig,/BecomePremiumUser/,Yes
Third-party app Stores,iOSGods,Experience the ultimate access to tweaks and customized apps.,iosgods.webp,https://app.iosgods.com/iOSGodsApp.mobileconfig,/BecomePremiumUser/,Yes
Third-party app Stores,App Valley,Tweaked apps No Jailbreak - Get Tweaks Apps For Free iOS.,appvalley.webp,https://apps.senumy.com/secure/configs/appvalley.mobileconfig,/BecomePremiumUser/,Yes
Enternainment,TVNow,Watch shows movies and live streams anytime on your iPhone or iPad.,tvnow.png,https://apps.senumy.com/app/tvnow.mobileconfig,/BecomePremiumUser/,Yes
Shortcuts Tweaks,Apple Intelligence,Enable apple intelligence on any unsupported iPhone or iPad.,apple_intelligence.png,https://www.icloud.com/shortcuts/54ede19d68944a6494d8578a6f418651,/BecomePremiumUser/,Yes
Shortcuts Tweaks,Glance,Add more Lock Screen power to iOS with Glance.,glance.webp,https://apps.senumy.com/secure/configs/glance.mobileconfig,/BecomePremiumUser/,Yes
Shortcuts Tweaks,ClassicLS,iOS 6 style Lock Screen for modern iOS.,classicls.jpg,https://www.icloud.com/shortcuts/f03bfc6a50c24f4eaa91910494ae0697,/BecomePremiumUser/,Yes
Shortcuts Tweaks,HomeScreen Creator,Design an Overlay Image for Your Home Screen Wallpaers.,home_screen_creator.jpg,https://www.icloud.com/shortcuts/8c50cc3458d9488a85f6edd06a180f78,/BecomePremiumUser/,Yes
Shortcuts Tweaks,Vertiblur,Blur half of your wallpaper on your Lock Screen & Home Screen.,vertiblur.jpg,https://www.icloud.com/shortcuts/481947722b744082b42b84ab972fb4cb,/BecomePremiumUser/,Yes
